Beds,Baths,Basement,Parking Spaces,Garage Spaces,Carport Spaces,Lot Size SqFt,Price Sold,Kitchens,Fireplaces Total,Year Built (Est),SqFt Fin Total,SqFt Unfinished,Lot Size Acres,Sub area,Filename
5,3,0,12,0,2,339768,1750000,2,1,1971,2880,1526,7,35,22472331
5,3,1,6,2,0,8150,1573000,2,2,1975,2696,307,0,12,24314874
6,3,1,3,0,1,6900,1825000,2,2,1921,3466,0,0,1,21942906
4,3,1,4,1,0,17414,1200000,2,1,1968,2257,250,0,11,20962292
4,2,1,2,0,0,6100,1251000,2,1,1958,1995,134,0,9,22068906
6,4,1,2,0,0,7175,1500000,2,3,1983,4681,0,0,12,21868229
5,4,1,6,1,0,11060,1699000,2,3,1963,3941,85,0,10,22166717
5,2,1,3,0,1,9285,1100000,2,1,1945,2387,152,0,32,22720840
4,3,1,3,0,1,6599,1011000,1,2,1972,2232,0,0,15,26015316
4,3,1,3,1,0,14943,1700000,2,4,1943,3461,216,0,16,22476871
6,3,0,3,2,0,8580,886000,2,2,1953,2801,0,0,32,21135809
4,2,1,5,1,0,7154,1170000,2,1,1949,1785,1785,0,10,22594406
5,3,1,3,0,3,8393,1135000,2,2,1979,2656,0,0,10,21604511
5,2,1,4,1,0,6551,1175000,2,1,1976,2215,0,0,15,21028247
5,3,0,3,0,0,7498,1170000,1,1,1979,2715,289,0,22,25859565
4,3,1,4,0,1,10366,951000,2,1,1954,1931,0,0,38,21782468
6,3,1,4,0,1,10358,1195000,2,1,1965,2900,0,0,38,21132933
4,3,1,2,1,0,9757,1050000,2,2,1968,2645,546,0,17,26035965
4,3,1,3,0,0,5650,995000,2,1,1959,1934,100,0,10,23352103
4,3,1,2,0,1,7441,999000,2,1,1966,2061,112,0,33,23341129
5,3,1,3,1,0,6559,1105000,2,1,1973,1957,397,0,15,24281270
4,3,1,2,1,0,10512,1508888,2,0,1953,2711,632,0,2,21440630
4,3,1,4,2,0,10900,1190000,2,1,1958,2503,520,0,12,26029768
6,3,1,4,1,0,9425,999999,2,2,1966,2637,296,0,39,21469276
4,3,1,4,2,0,24702,2155000,1,2,1968,3092,558,0,23,25926057
4,3,0,4,2,0,6051,1100000,1,1,1988,2077,441,0,38,26159540
5,5,0,6,2,0,7181,1510000,2,1,2021,2665,0,0,14,20644324
4,2,1,2,0,0,12870,945000,2,1,1947,2135,677,0,28,23768456
4,2,1,2,0,1,6000,1230000,1,1,1961,2087,68,0,23,26205167
3,4,1,4,2,0,20909,1325000,2,4,1956,3607,661,0,11,23147422
4,2,1,1,0,1,7649,1163350,2,1,1965,1748,628,0,18,24180328
4,5,0,2,2,0,10025,1918000,2,0,2012,3707,565,0,11,22445286
5,4,1,4,2,0,6502,1670000,2,2,2005,3362,603,0,12,22998212
4,2,1,2,0,0,6670,1385500,2,1,1928,1983,753,0,4,22754154
5,3,1,4,0,1,9908,1100000,2,1,1973,2270,0,0,22,20908891
4,4,0,4,2,0,6650,1520000,2,1,2022,3857,0,0,28,24143282
4,3,0,3,0,1,13779,1154000,2,2,1962,2173,0,0,36,21961290
4,3,1,2,0,1,6202,995000,2,1,1967,1836,0,0,13,21283176
3,4,0,4,2,0,11127,1425000,2,2,1990,2749,735,0,11,24400059
